game_id,game_date,team_id,team_name,opponent_id,opponent_name,home_away,team_pts,opp_pts,win,point_diff,rest_days,b2b
18447569,2026-02-07,1,Atlanta Hawks,4,Charlotte Hornets,HOME,119,126,0,-7,,0
18447612,2026-02-19,1,Atlanta Hawks,23,Philadelphia 76ers,AWAY,117,107,1,10,12.0,0
18447623,2026-02-20,1,Atlanta Hawks,16,Miami Heat,HOME,97,128,0,-31,1.0,1
18447636,2026-02-22,1,Atlanta Hawks,3,Brooklyn Nets,HOME,115,104,1,11,2.0,0
18447650,2026-02-24,1,Atlanta Hawks,30,Washington Wizards,HOME,119,98,1,21,2.0,0
18447668,2026-02-26,1,Atlanta Hawks,30,Washington Wizards,HOME,126,96,1,30,2.0,0
18447691,2026-03-01,1,Atlanta Hawks,25,Portland Trail Blazers,HOME,135,101,1,34,3.0,0
18447715,2026-03-04,1,Atlanta Hawks,17,Milwaukee Bucks,AWAY,131,113,1,18,3.0,0
18447735,2026-03-07,1,Atlanta Hawks,23,Philadelphia 76ers,HOME,125,116,1,9,3.0,0
18447757,2026-03-10,1,Atlanta Hawks,7,Dallas Mavericks,HOME,124,112,1,12,3.0,0
18447774,2026-03-12,1,Atlanta Hawks,3,Brooklyn Nets,HOME,108,97,1,11,2.0,0
18447788,2026-03-14,1,Atlanta Hawks,17,Milwaukee Bucks,HOME,122,99,1,23,2.0,0
18447617,2026-02-19,2,Boston Celtics,10,Golden State Warriors,AWAY,121,110,1,11,,0
18447641,2026-02-22,2,Boston Celtics,14,Los Angeles Lakers,AWAY,111,89,1,22,3.0,0
18447657,2026-02-24,2,Boston Celtics,24,Phoenix Suns,AWAY,97,81,1,16,2.0,0
18447665,2026-02-25,2,Boston Celtics,8,Denver Nuggets,AWAY,84,103,0,-19,1.0,1
18447677,2026-02-27,2,Boston Celtics,3,Brooklyn Nets,HOME,148,111,1,37,2.0,0
18447692,2026-03-01,2,Boston Celtics,23,Philadelphia 76ers,HOME,114,98,1,16,2.0,0
18447698,2026-03-02,2,Boston Celtics,17,Milwaukee Bucks,AWAY,108,81,1,27,1.0,1
18447712,2026-03-04,2,Boston Celtics,4,Charlotte Hornets,HOME,89,118,0,-29,2.0,0
18447726,2026-03-06,2,Boston Celtics,7,Dallas Mavericks,HOME,120,100,1,20,2.0,0
18447739,2026-03-08,2,Boston Celtics,6,Cleveland Cavaliers,AWAY,109,98,1,11,2.0,0
18447760,2026-03-10,2,Boston Celtics,27,San Antonio Spurs,AWAY,116,125,0,-9,2.0,0
18447777,2026-03-12,2,Boston Celtics,21,Oklahoma City Thunder,AWAY,102,104,0,-2,2.0,0
18447789,2026-03-14,2,Boston Celtics,30,Washington Wizards,HOME,111,100,1,11,2.0,0
18447565,2026-02-07,3,Brooklyn Nets,30,Washington Wizards,HOME,127,113,1,14,,0
18447611,2026-02-19,3,Brooklyn Nets,6,Cleveland Cavaliers,AWAY,84,112,0,-28,12.0,0
18447626,2026-02-20,3,Brooklyn Nets,21,Oklahoma City Thunder,AWAY,86,105,0,-19,1.0,1
18447636,2026-02-22,3,Brooklyn Nets,1,Atlanta Hawks,AWAY,104,115,0,-11,2.0,0
18447651,2026-02-24,3,Brooklyn Nets,7,Dallas Mavericks,HOME,114,123,0,-9,2.0,0
18447669,2026-02-26,3,Brooklyn Nets,27,San Antonio Spurs,HOME,110,126,0,-16,2.0,0
18447677,2026-02-27,3,Brooklyn Nets,2,Boston Celtics,AWAY,111,148,0,-37,1.0,1
18447687,2026-03-01,3,Brooklyn Nets,6,Cleveland Cavaliers,HOME,102,106,0,-4,2.0,0
18447704,2026-03-03,3,Brooklyn Nets,16,Miami Heat,AWAY,98,124,0,-26,2.0,0
18447719,2026-03-05,3,Brooklyn Nets,16,Miami Heat,AWAY,110,126,0,-16,2.0,0
18447734,2026-03-07,3,Brooklyn Nets,9,Detroit Pistons,AWAY,107,105,1,2,2.0,0
18447750,2026-03-09,3,Brooklyn Nets,15,Memphis Grizzlies,HOME,126,115,1,11,2.0,0
18447755,2026-03-10,3,Brooklyn Nets,9,Detroit Pistons,HOME,100,138,0,-38,1.0,1
18447774,2026-03-12,3,Brooklyn Nets,1,Atlanta Hawks,AWAY,97,108,0,-11,2.0,0
18447787,2026-03-14,3,Brooklyn Nets,23,Philadelphia 76ers,AWAY,97,104,0,-7,2.0,0
18447569,2026-02-07,4,Charlotte Hornets,1,Atlanta Hawks,AWAY,126,119,1,7,,0
18447610,2026-02-19,4,Charlotte Hornets,11,Houston Rockets,HOME,101,105,0,-4,12.0,0
18447620,2026-02-20,4,Charlotte Hornets,6,Cleveland Cavaliers,HOME,113,118,0,-5,1.0,1
18447640,2026-02-22,4,Charlotte Hornets,30,Washington Wizards,AWAY,129,112,1,17,2.0,0
18447654,2026-02-24,4,Charlotte Hornets,5,Chicago Bulls,AWAY,131,99,1,32,2.0,0
18447666,2026-02-26,4,Charlotte Hornets,12,Indiana Pacers,AWAY,133,109,1,24,2.0,0
18447681,2026-02-28,4,Charlotte Hornets,25,Portland Trail Blazers,HOME,109,93,1,16,2.0,0
18447701,2026-03-03,4,Charlotte Hornets,7,Dallas Mavericks,HOME,117,90,1,27,3.0,0
18447712,2026-03-04,4,Charlotte Hornets,2,Boston Celtics,AWAY,118,89,1,29,1.0,1
18447727,2026-03-06,4,Charlotte Hornets,16,Miami Heat,HOME,120,128,0,-8,2.0,0
18447746,2026-03-08,4,Charlotte Hornets,24,Phoenix Suns,AWAY,99,111,0,-12,2.0,0
18447762,2026-03-10,4,Charlotte Hornets,25,Portland Trail Blazers,AWAY,103,101,1,2,2.0,0
18447769,2026-03-11,4,Charlotte Hornets,26,Sacramento Kings,AWAY,117,109,1,8,1.0,1
18447791,2026-03-14,4,Charlotte Hornets,27,San Antonio Spurs,AWAY,102,115,0,-13,3.0,0
18447570,2026-02-07,5,Chicago Bulls,8,Denver Nuggets,HOME,120,136,0,-16,,0
18447615,2026-02-19,5,Chicago Bulls,28,Toronto Raptors,HOME,101,110,0,-9,12.0,0
18447632,2026-02-21,5,Chicago Bulls,9,Detroit Pistons,HOME,110,126,0,-16,2.0,0
18447643,2026-02-22,5,Chicago Bulls,20,New York Knicks,HOME,99,105,0,-6,1.0,1
18447654,2026-02-24,5,Chicago Bulls,4,Charlotte Hornets,HOME,99,131,0,-32,2.0,0
18447671,2026-02-26,5,Chicago Bulls,25,Portland Trail Blazers,HOME,112,121,0,-9,2.0,0
18447688,2026-03-01,5,Chicago Bulls,17,Milwaukee Bucks,HOME,120,97,1,23,3.0,0
18447707,2026-03-03,5,Chicago Bulls,21,Oklahoma City Thunder,HOME,108,116,0,-8,2.0,0
18447723,2026-03-05,5,Chicago Bulls,24,Phoenix Suns,AWAY,105,103,1,2,2.0,0
18447748,2026-03-08,5,Chicago Bulls,26,Sacramento Kings,AWAY,110,126,0,-16,3.0,0
18447761,2026-03-10,5,Chicago Bulls,10,Golden State Warriors,AWAY,130,124,1,6,2.0,0
18447778,2026-03-12,5,Chicago Bulls,14,Los Angeles Lakers,AWAY,130,142,0,-12,2.0,0
18447786,2026-03-13,5,Chicago Bulls,13,LA Clippers,AWAY,108,119,0,-11,1.0,1
18447574,2026-02-07,6,Cleveland Cavaliers,26,Sacramento Kings,AWAY,132,126,1,6,,0
18447611,2026-02-19,6,Cleveland Cavaliers,3,Brooklyn Nets,HOME,112,84,1,28,12.0,0
18447620,2026-02-20,6,Cleveland Cavaliers,4,Charlotte Hornets,AWAY,118,113,1,5,1.0,1
18447635,2026-02-22,6,Cleveland Cavaliers,21,Oklahoma City Thunder,AWAY,113,121,0,-8,2.0,0
18447653,2026-02-24,6,Cleveland Cavaliers,20,New York Knicks,HOME,109,94,1,15,2.0,0
18447664,2026-02-25,6,Cleveland Cavaliers,17,Milwaukee Bucks,AWAY,116,118,0,-2,1.0,1
18447676,2026-02-27,6,Cleveland Cavaliers,9,Detroit Pistons,AWAY,119,122,0,-3,2.0,0
18447687,2026-03-01,6,Cleveland Cavaliers,3,Brooklyn Nets,AWAY,106,102,1,4,2.0,0
18447702,2026-03-03,6,Cleveland Cavaliers,9,Detroit Pistons,HOME,113,109,1,4,2.0,0
18447739,2026-03-08,6,Cleveland Cavaliers,2,Boston Celtics,HOME,98,109,0,-11,5.0,0
18447749,2026-03-09,6,Cleveland Cavaliers,23,Philadelphia 76ers,HOME,115,101,1,14,1.0,1
18447765,2026-03-11,6,Cleveland Cavaliers,22,Orlando Magic,AWAY,122,128,0,-6,2.0,0
18447783,2026-03-13,6,Cleveland Cavaliers,7,Dallas Mavericks,AWAY,138,105,1,33,2.0,0
18447567,2026-02-07,7,Dallas Mavericks,27,San Antonio Spurs,AWAY,125,138,0,-13,,0
18447624,2026-02-20,7,Dallas Mavericks,18,Minnesota Timberwolves,AWAY,111,122,0,-11,13.0,0
18447639,2026-02-22,7,Dallas Mavericks,12,Indiana Pacers,AWAY,134,130,1,4,2.0,0
18447651,2026-02-24,7,Dallas Mavericks,3,Brooklyn Nets,AWAY,123,114,1,9,2.0,0
18447672,2026-02-26,7,Dallas Mavericks,26,Sacramento Kings,HOME,121,130,0,-9,2.0,0
18447679,2026-02-27,7,Dallas Mavericks,15,Memphis Grizzlies,HOME,105,124,0,-19,1.0,1
18447694,2026-03-01,7,Dallas Mavericks,21,Oklahoma City Thunder,HOME,87,100,0,-13,2.0,0
18447701,2026-03-03,7,Dallas Mavericks,4,Charlotte Hornets,AWAY,90,117,0,-27,2.0,0
18447717,2026-03-05,7,Dallas Mavericks,22,Orlando Magic,AWAY,114,115,0,-1,2.0,0
18447726,2026-03-06,7,Dallas Mavericks,2,Boston Celtics,AWAY,100,120,0,-20,1.0,1
18447742,2026-03-08,7,Dallas Mavericks,28,Toronto Raptors,AWAY,92,122,0,-30,2.0,0
18447757,2026-03-10,7,Dallas Mavericks,1,Atlanta Hawks,AWAY,112,124,0,-12,2.0,0
18447929,2026-03-12,7,Dallas Mavericks,15,Memphis Grizzlies,AWAY,120,112,1,8,2.0,0
18447783,2026-03-13,7,Dallas Mavericks,6,Cleveland Cavaliers,HOME,105,138,0,-33,1.0,1
18447570,2026-02-07,8,Denver Nuggets,5,Chicago Bulls,AWAY,136,120,1,16,,0
18447619,2026-02-19,8,Denver Nuggets,13,LA Clippers,AWAY,114,115,0,-1,12.0,0
18447628,2026-02-20,8,Denver Nuggets,25,Portland Trail Blazers,AWAY,157,103,1,54,1.0,1
18447638,2026-02-22,8,Denver Nuggets,10,Golden State Warriors,AWAY,117,128,0,-11,2.0,0
18447665,2026-02-25,8,Denver Nuggets,2,Boston Celtics,HOME,103,84,1,19,3.0,0
18447680,2026-02-27,8,Denver Nuggets,21,Oklahoma City Thunder,AWAY,121,127,0,-6,2.0,0
18447689,2026-03-01,8,Denver Nuggets,18,Minnesota Timberwolves,HOME,108,117,0,-9,2.0,0
18447699,2026-03-02,8,Denver Nuggets,29,Utah Jazz,AWAY,128,125,1,3,1.0,1
18447724,2026-03-05,8,Denver Nuggets,14,Los Angeles Lakers,HOME,120,113,1,7,3.0,0
18447729,2026-03-06,8,Denver Nuggets,20,New York Knicks,HOME,103,142,0,-39,1.0,1
18447751,2026-03-09,8,Denver Nuggets,21,Oklahoma City Thunder,AWAY,126,129,0,-3,3.0,0
18447768,2026-03-11,8,Denver Nuggets,11,Houston Rockets,HOME,129,93,1,36,2.0,0
18447776,2026-03-12,8,Denver Nuggets,27,San Antonio Spurs,AWAY,136,131,1,5,1.0,1
18447792,2026-03-14,8,Denver Nuggets,14,Los Angeles Lakers,AWAY,125,127,0,-2,2.0,0
18447614,2026-02-19,9,Detroit Pistons,20,New York Knicks,AWAY,126,111,1,15,,0
18447632,2026-02-21,9,Detroit Pistons,5,Chicago Bulls,AWAY,126,110,1,16,2.0,0
18447646,2026-02-23,9,Detroit Pistons,27,San Antonio Spurs,HOME,103,114,0,-11,2.0,0
18447660,2026-02-25,9,Detroit Pistons,21,Oklahoma City Thunder,HOME,124,116,1,8,2.0,0
18447676,2026-02-27,9,Detroit Pistons,6,Cleveland Cavaliers,HOME,122,119,1,3,2.0,0
18447693,2026-03-01,9,Detroit Pistons,22,Orlando Magic,AWAY,106,92,1,14,2.0,0
18447702,2026-03-03,9,Detroit Pistons,6,Cleveland Cavaliers,AWAY,109,113,0,-4,2.0,0
18447722,2026-03-05,9,Detroit Pistons,27,San Antonio Spurs,AWAY,106,121,0,-15,2.0,0
18447734,2026-03-07,9,Detroit Pistons,3,Brooklyn Nets,HOME,105,107,0,-2,2.0,0
18447741,2026-03-08,9,Detroit Pistons,16,Miami Heat,AWAY,110,121,0,-11,1.0,1
18447755,2026-03-10,9,Detroit Pistons,3,Brooklyn Nets,AWAY,138,100,1,38,2.0,0
18447771,2026-03-12,9,Detroit Pistons,23,Philadelphia 76ers,HOME,131,109,1,22,2.0,0
18447779,2026-03-13,9,Detroit Pistons,15,Memphis Grizzlies,HOME,126,110,1,16,1.0,1
18447571,2026-02-07,10,Golden State Warriors,14,Los Angeles Lakers,AWAY,99,105,0,-6,,0
18447617,2026-02-19,10,Golden State Warriors,2,Boston Celtics,HOME,110,121,0,-11,12.0,0
18447638,2026-02-22,10,Golden State Warriors,8,Denver Nuggets,HOME,128,117,1,11,3.0,0
18447656,2026-02-24,10,Golden State Warriors,19,New Orleans Pelicans,AWAY,109,113,0,-4,2.0,0
18447662,2026-02-25,10,Golden State Warriors,15,Memphis Grizzlies,AWAY,133,112,1,21,1.0,1
18447684,2026-02-28,10,Golden State Warriors,14,Los Angeles Lakers,HOME,101,129,0,-28,3.0,0
18447700,2026-03-02,10,Golden State Warriors,13,LA Clippers,HOME,101,114,0,-13,2.0,0
18447720,2026-03-05,10,Golden State Warriors,11,Houston Rockets,AWAY,115,113,1,2,3.0,0
18447738,2026-03-07,10,Golden State Warriors,21,Oklahoma City Thunder,AWAY,97,104,0,-7,2.0,0
18447752,2026-03-09,10,Golden State Warriors,29,Utah Jazz,AWAY,116,119,0,-3,2.0,0
18447761,2026-03-10,10,Golden State Warriors,5,Chicago Bulls,HOME,124,130,0,-6,1.0,1
