game_id,game_date,home_team_id,home_team_name,away_team_id,away_team_name,home_pts,away_pts
18447565,2026-02-07,3,Brooklyn Nets,30,Washington Wizards,127,113
18447566,2026-02-07,21,Oklahoma City Thunder,11,Houston Rockets,106,112
18447567,2026-02-07,27,San Antonio Spurs,7,Dallas Mavericks,138,125
18447568,2026-02-07,22,Orlando Magic,29,Utah Jazz,120,117
18447569,2026-02-07,1,Atlanta Hawks,4,Charlotte Hornets,119,126
18447570,2026-02-07,5,Chicago Bulls,8,Denver Nuggets,120,136
18447571,2026-02-07,14,Los Angeles Lakers,10,Golden State Warriors,105,99
18447572,2026-02-07,24,Phoenix Suns,23,Philadelphia 76ers,103,109
18447573,2026-02-07,25,Portland Trail Blazers,15,Memphis Grizzlies,122,115
18447574,2026-02-07,26,Sacramento Kings,6,Cleveland Cavaliers,126,132
18447610,2026-02-19,4,Charlotte Hornets,11,Houston Rockets,101,105
18447611,2026-02-19,6,Cleveland Cavaliers,3,Brooklyn Nets,112,84
18447612,2026-02-19,23,Philadelphia 76ers,1,Atlanta Hawks,107,117
18447613,2026-02-19,30,Washington Wizards,12,Indiana Pacers,112,105
18447614,2026-02-19,20,New York Knicks,9,Detroit Pistons,111,126
18447615,2026-02-19,5,Chicago Bulls,28,Toronto Raptors,101,110
18447616,2026-02-19,27,San Antonio Spurs,24,Phoenix Suns,121,94
18447617,2026-02-19,10,Golden State Warriors,2,Boston Celtics,110,121
18447618,2026-02-19,26,Sacramento Kings,22,Orlando Magic,94,131
18447619,2026-02-19,13,LA Clippers,8,Denver Nuggets,115,114
18447620,2026-02-20,4,Charlotte Hornets,6,Cleveland Cavaliers,113,118
18447621,2026-02-20,30,Washington Wizards,12,Indiana Pacers,131,118
18447622,2026-02-20,15,Memphis Grizzlies,29,Utah Jazz,123,114
18447623,2026-02-20,1,Atlanta Hawks,16,Miami Heat,97,128
18447624,2026-02-20,18,Minnesota Timberwolves,7,Dallas Mavericks,122,111
18447625,2026-02-20,19,New Orleans Pelicans,17,Milwaukee Bucks,118,139
18447626,2026-02-20,21,Oklahoma City Thunder,3,Brooklyn Nets,105,86
18447627,2026-02-20,14,Los Angeles Lakers,13,LA Clippers,125,122
18447628,2026-02-20,25,Portland Trail Blazers,8,Denver Nuggets,103,157
18447629,2026-02-21,24,Phoenix Suns,22,Orlando Magic,113,110
18447630,2026-02-21,19,New Orleans Pelicans,23,Philadelphia 76ers,126,111
18447631,2026-02-21,16,Miami Heat,15,Memphis Grizzlies,136,120
18447632,2026-02-21,5,Chicago Bulls,9,Detroit Pistons,110,126
18447633,2026-02-21,27,San Antonio Spurs,26,Sacramento Kings,139,122
18447634,2026-02-21,20,New York Knicks,11,Houston Rockets,108,106
18447635,2026-02-22,21,Oklahoma City Thunder,6,Cleveland Cavaliers,121,113
18447636,2026-02-22,1,Atlanta Hawks,3,Brooklyn Nets,115,104
18447637,2026-02-22,17,Milwaukee Bucks,28,Toronto Raptors,94,122
18447638,2026-02-22,10,Golden State Warriors,8,Denver Nuggets,128,117
18447639,2026-02-22,12,Indiana Pacers,7,Dallas Mavericks,130,134
18447640,2026-02-22,30,Washington Wizards,4,Charlotte Hornets,112,129
18447641,2026-02-22,14,Los Angeles Lakers,2,Boston Celtics,89,111
18447642,2026-02-22,18,Minnesota Timberwolves,23,Philadelphia 76ers,108,135
18447643,2026-02-22,5,Chicago Bulls,20,New York Knicks,99,105
18447644,2026-02-22,24,Phoenix Suns,25,Portland Trail Blazers,77,92
18447645,2026-02-22,13,LA Clippers,22,Orlando Magic,109,111
18447646,2026-02-23,9,Detroit Pistons,27,San Antonio Spurs,103,114
18447647,2026-02-23,15,Memphis Grizzlies,26,Sacramento Kings,114,123
18447648,2026-02-23,11,Houston Rockets,29,Utah Jazz,125,105
18447649,2026-02-24,12,Indiana Pacers,23,Philadelphia 76ers,114,135
18447650,2026-02-24,1,Atlanta Hawks,30,Washington Wizards,119,98
18447651,2026-02-24,3,Brooklyn Nets,7,Dallas Mavericks,114,123
18447652,2026-02-24,28,Toronto Raptors,21,Oklahoma City Thunder,107,116
18447653,2026-02-24,6,Cleveland Cavaliers,20,New York Knicks,109,94
18447654,2026-02-24,5,Chicago Bulls,4,Charlotte Hornets,99,131
18447655,2026-02-24,17,Milwaukee Bucks,16,Miami Heat,128,117
18447656,2026-02-24,19,New Orleans Pelicans,10,Golden State Warriors,113,109
18447657,2026-02-24,24,Phoenix Suns,2,Boston Celtics,81,97
18447658,2026-02-24,14,Los Angeles Lakers,22,Orlando Magic,109,110
18447659,2026-02-24,25,Portland Trail Blazers,18,Minnesota Timberwolves,121,124
18447660,2026-02-25,9,Detroit Pistons,21,Oklahoma City Thunder,124,116
18447661,2026-02-25,28,Toronto Raptors,27,San Antonio Spurs,107,110
18447662,2026-02-25,15,Memphis Grizzlies,10,Golden State Warriors,112,133
18447663,2026-02-25,11,Houston Rockets,26,Sacramento Kings,128,97
18447664,2026-02-25,17,Milwaukee Bucks,6,Cleveland Cavaliers,118,116
18447665,2026-02-25,8,Denver Nuggets,2,Boston Celtics,103,84
18447666,2026-02-26,12,Indiana Pacers,4,Charlotte Hornets,109,133
18447667,2026-02-26,23,Philadelphia 76ers,16,Miami Heat,124,117
18447668,2026-02-26,1,Atlanta Hawks,30,Washington Wizards,126,96
18447669,2026-02-26,3,Brooklyn Nets,27,San Antonio Spurs,110,126
18447670,2026-02-26,22,Orlando Magic,11,Houston Rockets,108,113
18447671,2026-02-26,5,Chicago Bulls,25,Portland Trail Blazers,112,121
18447672,2026-02-26,7,Dallas Mavericks,26,Sacramento Kings,121,130
18447673,2026-02-26,24,Phoenix Suns,14,Los Angeles Lakers,113,110
18447674,2026-02-26,29,Utah Jazz,19,New Orleans Pelicans,118,129
18447675,2026-02-26,13,LA Clippers,18,Minnesota Timberwolves,88,94
18447676,2026-02-27,9,Detroit Pistons,6,Cleveland Cavaliers,122,119
18447677,2026-02-27,2,Boston Celtics,3,Brooklyn Nets,148,111
18447678,2026-02-27,17,Milwaukee Bucks,20,New York Knicks,98,127
18447679,2026-02-27,7,Dallas Mavericks,15,Memphis Grizzlies,105,124
18447680,2026-02-27,21,Oklahoma City Thunder,8,Denver Nuggets,127,121
18447681,2026-02-28,4,Charlotte Hornets,25,Portland Trail Blazers,109,93
18447682,2026-02-28,16,Miami Heat,11,Houston Rockets,115,105
18447683,2026-02-28,30,Washington Wizards,28,Toronto Raptors,125,134
18447684,2026-02-28,10,Golden State Warriors,14,Los Angeles Lakers,101,129
18447685,2026-02-28,29,Utah Jazz,19,New Orleans Pelicans,105,115
18447686,2026-03-01,20,New York Knicks,27,San Antonio Spurs,114,89
18447687,2026-03-01,3,Brooklyn Nets,6,Cleveland Cavaliers,102,106
18447688,2026-03-01,5,Chicago Bulls,17,Milwaukee Bucks,120,97
18447689,2026-03-01,8,Denver Nuggets,18,Minnesota Timberwolves,108,117
18447690,2026-03-01,12,Indiana Pacers,15,Memphis Grizzlies,106,125
18447691,2026-03-01,1,Atlanta Hawks,25,Portland Trail Blazers,135,101
18447692,2026-03-01,2,Boston Celtics,23,Philadelphia 76ers,114,98
18447693,2026-03-01,22,Orlando Magic,9,Detroit Pistons,92,106
18447694,2026-03-01,7,Dallas Mavericks,21,Oklahoma City Thunder,87,100
18447695,2026-03-01,13,LA Clippers,19,New Orleans Pelicans,137,117
18447696,2026-03-01,14,Los Angeles Lakers,26,Sacramento Kings,128,104
18447697,2026-03-02,30,Washington Wizards,11,Houston Rockets,118,123
18447698,2026-03-02,17,Milwaukee Bucks,2,Boston Celtics,81,108
18447699,2026-03-02,29,Utah Jazz,8,Denver Nuggets,125,128
18447700,2026-03-02,10,Golden State Warriors,13,LA Clippers,101,114
18447701,2026-03-03,4,Charlotte Hornets,7,Dallas Mavericks,117,90
18447702,2026-03-03,6,Cleveland Cavaliers,9,Detroit Pistons,113,109
18447703,2026-03-03,22,Orlando Magic,30,Washington Wizards,126,109
18447704,2026-03-03,16,Miami Heat,3,Brooklyn Nets,124,98
18447705,2026-03-03,28,Toronto Raptors,20,New York Knicks,95,111
18447706,2026-03-03,23,Philadelphia 76ers,27,San Antonio Spurs,91,131
18447707,2026-03-03,5,Chicago Bulls,21,Oklahoma City Thunder,108,116
18447708,2026-03-03,18,Minnesota Timberwolves,15,Memphis Grizzlies,117,110
18447709,2026-03-03,14,Los Angeles Lakers,19,New Orleans Pelicans,110,101
18447710,2026-03-03,26,Sacramento Kings,24,Phoenix Suns,103,114
18447711,2026-03-04,20,New York Knicks,21,Oklahoma City Thunder,100,103
18447712,2026-03-04,2,Boston Celtics,4,Charlotte Hornets,89,118
18447713,2026-03-04,23,Philadelphia 76ers,29,Utah Jazz,106,102
18447714,2026-03-04,15,Memphis Grizzlies,25,Portland Trail Blazers,114,122
18447715,2026-03-04,17,Milwaukee Bucks,1,Atlanta Hawks,113,131
18447716,2026-03-04,13,LA Clippers,12,Indiana Pacers,130,107
18447717,2026-03-05,22,Orlando Magic,7,Dallas Mavericks,115,114
